"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"a2z Publications","Las Vegas","Nevada","","General Hate","","","2016"
"Abiding Truth Ministries","Springfield","Massachusetts","","Anti-LGBTQ","","","2016"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead","","","2016"
"ACT for America","Baton Rouge","Louisiana","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Bear","Delaware","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Boston","Massachusetts","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Cheshire","Connecticut","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Cincinnati","Ohio","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Cleveland","Ohio","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Columbus","Ohio","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Corona","California","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Dallas","Texas","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Des Moines","Iowa","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Des Plaines","Illinois","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Detroit","Michigan","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Fayetteville","North Carolina","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Grand Rapids","Michigan","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Heathrow","Florida","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Houston","Texas","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Jacksonville","Florida","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Jonesboro","Arkansas","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Kalispell","Montana","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Knoxville","Tennessee","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Leesburg","Virginia","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Los Angeles","California","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Memphis","Tennessee","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Meridian","Idaho","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Minneapolis","Minnesota","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Mission Viejo","California","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Nashua","New Hampshire","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","New York","New York","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Palm Beach","Florida","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Rapid City","South Dakota","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","San Antonio","Texas","ACT for America ","Anti-Muslim","","","2016"
"ACT for America","Spokane Valley","Washington","ACT for America ","Anti-Muslim","","","2016"
