# Hate group DNS Blocklist
# - Based off 
#       - Southern Poverty Law Center's list of hate groups. 
#           - https://www.splcenter.org/fighting-hate
#           - https://www.splcenter.org/hate-map -- Click "Download Data"
#       - Center for Countering Digital Hate
#           - https://counterhate.co.uk
#       - Other resources:
#           - https://nowtoronto.com/news/canada-islamophobic-groups/
# 
# - URL: https://tch3.net/hg-dnsbl/blocklist.txt
#        
# - File format:
#   Name|website|category|date-added|date updated/checked|anything-else
#
# - I started this list ~2018 and only using 2016+ data
#
# - Lines beginning with 
#       ? are groups/domains that are not in the list, but are on the SPLC site.
#       + are newly added groups in the list.
#       - are active groups which have been in previous year's lists, but 
#         are not in the current year's list
#       x are domains which no longer exist (nx) (removed from configs)
#       d are domains which still exist, but are non-functional (remain in configs)
#       r are groups which are no longer in the list
#
###########################################################################
### Custom
###########################################################################
Poker Face|pokerface.com|Hate Music|2016|2020
d - Resistance Records (National Alliance)|resistance.com|2016|2020
d - Stahlhelm Records (spam blog)|stahlhelmrecords.blogspot.com
Tightrope|tightroperecords.com|Hate Music|2016|2020
United Riot Records|unitedriotrecords.net|Hate Music|2016|2020
d - Vanguard Productions|vanguard-productions.com|Hate Music|2019|2020
Vanguard Productions|vanguard-productions.blogspot.fr|Hate Music|2019|2020
Vinlandic Werewolf Distribution|vinlandicwerwolfdistribution.wordpress.com|Hate Music|2018|2020
## d - Wolf Tyr Productions|wolftyr.com|Hate Music|2016|2020
- Wolf's Head Records|operationwerewolf.com|Hate Music|2018|2020
#
#
###########################################################################
### Holocaust Denial
###########################################################################
Barnes Review/Foundation for Economic Liberty, Inc.|barnesreview.org|Holodcaust Denial|2016|2020
Carolyn Yeager|carolynyeager.net|Holocaust Denial|2016|2020
Committee for Open Debate on the Holocaust|codoh.com|Holocaust Denial|2018|2020
- Deir Yassin Remembered|deiryassin.org|Holocaust Denial|2016|2018
Independent History & Research (was: Campaign for Radical Truth in History)|revisionisthistory.org|Holocaust Denial|2016|2020
Institute for Historical Review|ihr.org|Holocaust Denial|2016|2020
- Irving Books|irvingbooks.com|Holocaust Denial|2016|2020
The Realist Report|therealistreport.com|Holocaust Denial|2016|2020
#
#
###########################################################################
### KKK
###########################################################################
Ku Klux Klan|kkk.com
## + Alliance of American Klans|N/A|KKK|2019|2020
+ American Christian Dixie Knights of the Ku Klux Klan|acdk311.com|KKK|2019|2020
## r - Christian American Knights of the Ku Klux Klan|N/A|KKK|2018|2020
Church of the National Knights of the Ku Klux Klan|cnkkkk.net|KKK|2016|2020
## r - Confederate White Knights of the Ku Klux Klan|N/A|KKK|2016|2020
East Coast Knights Of The True Invisible Empire|eastcoastknightsofthetrueinvisibleempire.com|KKK|2016|2020
## Exalted Knights of the Ku Klux Klan|N/A|KKK|2017|2020
## Exalted Knights of the Ku Klux Klan|exaltedknights.com|taken over & redirected :-)
dr - Georgia Knight Riders of the Ku Klux Klan|georgiaknightriderskkk.com
## r - Great Lakes Knights of the Ku Klux Klan|N/A|2016|2020
## Honorable Sacred Knights of the Ku Klux Klan|N/A|2018|2020
+ Imperial Klans of America of the Ku Klux Klan|imperialklansofamerica.com|KKK|2019|2020
International Keystone Knights of the Ku Klux Klan|ikkkkk.org|KKK|2018|2020
## Knights of the Ku Klux Klan|N/A|KKK|2016|2020
Knights of the White Disciples|knightsofthewhitedisciples.com
Ku Klos Knights of the Ku Klux Klan|kuklosknights.com|KKK|2016|2020
Loyal White Knights of the Ku Klux Klan|kkkknights.com
## Noble Klans of America|N/A -- Intentionally don't have one|KKK|2018|2020
## Nordic Order Knights of the Ku Klux Klan|N/A|2016|2020
## North Mississippi White Knights Of The Ku Klux Klan|N/A|KKK|2016|2020
## Old Dominion Knights of the Ku Klux Klan|!!! None found.
## Old Glory Knights of the Ku Klux Klan|!!! None found.
## xr - Original Knight Riders Knights of the Ku Klux Klan|originalknightriders.net|KKK|2016|2020
## - Outlaw Knights of the Ku Klux Klan|N/A|KKK|2016|2020
## Pacific Coast Knights of the Ku Klux Klan|N/A|2016|2020
## Patriotic Brigade Knights of the Ku Klux Klan|N/A|2016|2020
Rebel Brigade Knights True Invisible Empire|rebelbrigadeknightstrueinvisibleempire.yolasite.com|KKK|2016|2020
Rebel Brigade Knights True Invisible Empire|rebelbrigade.blogspot.com|KKK|2016|2020
Rebel Brigade Knights True Invisible Empire|rebelbrigadeknightstrueinvisibleempire.wordpress.com|KKK|2016|2020
## - Southern Ohio Knights of the Ku Klux Klan|N/A|KKK|2016|2020
Texas Rebel Knights of the Ku Klux Klan|texasrebelknightskkk.com
d - Traditionalist American Knights of the Ku Klux Klan|traditionalistamericanknights.com
## United Dixie White Knights Ku Klux Klan|N/A|2016|2020
United Klans of America|theuka.us|KKK|2016|2020
United Northern and Southern Knights of the Ku Klux Klan|unskkkk.com
## - United White Knights of the Ku Klux Klan|N/A|2016|2020
## - White Knights of the Ku Klux Klan of America|N/A|KKK|2016|2020
## White Knights of Texas|N/A|KKK|2019|2020
#
#
###########################################################################
### Neo-Confederate
###########################################################################
## ACTBAC NC|N/A|Neo-Confederate||
## Confederate 901|N/A|Neo-Confederate||
Dixie Republic|dixierepublic.com|Neo-Confederate|2018|2021
## d - FreeMississippi|radiofreemississippi.net|Neo-Confederate||2020
## Heirs to the Confederacy|N/A|Neo-Confederate|2021|2021|
Identity Dixie|identitydixie.com|Neo-Confederate|2018|2021
League of the South|dixienet.org|Neo-Confederate|2018|2020
League of the South (aka Mary Noel Kershaw Foundation)|leagueofthesouth.com|Neo-Confederate|2018|2020
? Pace Confederate Depot|paceconfederatedepot.weebly.com|Neo-Confederate|2018|2021
? Southern Future|southernfuture.com|Neo-Confederate|2018|2021
? Southern National Congress|southernnationalcongress.org|Neo-Confederate|2018|2021
? Southern National Congress|thesnc.org
- Wildman's Civil War Surplus and Herb Shop|wildmans-shop.com|Neo-Confederate|2018|2021
# Southern Revivalism 
#
#
###########################################################################
### Neo-Nazi
###########################################################################
American Nazi Party|americannaziparty.com|Neo-Nazi|2020-06-17
Aryan Nations Sadistic Souls MC|sadisticsoulsmc.org|Neo-Nazi|
## Atomwaffen Division|!!! None found.|Neo-Nazi|2020-06-17
Bomb Israel|bombisrael.com|Robert Sterkeson|Neo-Nazi|
Creativity Alliance, The|creativityalliance.com|Neo-Nazi|
Creativity Movement, The|creativitymovement.net|Neo-Nazi|
Creativity Movement, The (Toronto)|creativitymovementtoronto.blogspot.com|Neo-Nazi|
Daily Stormer|dailystormer.ai|Neo-Nazi|2017
Daily Stormer|dailystormer.com|Neo-Nazi|2017
Daily Stormer|dailystormer.lol|Neo-Nazi|2017
Daily Stormer|dailystormer.name|Neo-Nazi|2017
Daily Stormer|dailystormer.ph|Neo-Nazi|2017
Daily Stormer|dailystormer.red|Neo-Nazi|2017
Daily Stormer|dailystormer.ru|Neo-Nazi|2017
Daily Stormer|dailystormer.su|Neo-Nazi|2021
Daily Stormer (Tor)|dstormer6em3i4km.onion.link
Daily Stormer (Tor forums)|bbs.dstormer6em3i4km.onion
Daily Stormer (Tor es)|elstormer6vrre53.onion.link
## Endangered Souls RC/Crew 519|Facebook|2018|2020
## + Feuerkrieg Division|N/A|2020|2020
d National Alliance|navtan.com|Neo-Nazi|2016|2021
National Alliance|natall.com|Neo-Nazi|2016|2021
## - National Alliance Reform and Restoration Group|N/A|Neo-Nazi|2016|2021
## National Socialist German Workers Party|N/A|Neo-Nazi|2016|2021
## National Socialist Legion|N/A|Neo-Nazi|2018|2021
## National Socialist Liberation Front|N/A|Neo-Nazi|2017|2021
National Socialist Movement (USA)|nsm88.org|Neo-Nazi|2018|2021
## Nationalist Initiative|!!! None found.
d - Nationalist Women's Front|nationalistwomensfront.org
- Nationalist Women's Front|nationalistwomensfront.wordpress.com
New Order|theneworder.org|Neo-Nazi|2016|2021
Nobile Breed Kindred|nbkblog.wordpress.com
NS Publications|nspublications.com|Neo-Nazi|2016|2021
PzG Inc.|pzg.biz|Neo-Nazi|2016|2021
## x Radio Wehrwolf|radiowehrwolf.world|Neo-Nazi|2018|2021|Mixcloud
Third Reich Books|third-reich-books.com|Neo-Nazi|2016|2021
Traditionalist Worker Party|tradworker.org
## Vanguard America (see Patriot Front)|patriotfront.us|Neo-Nazi|2018|2021
Vanguard News Network|vanguardnewsnetwork.com|Neo-Nazi|2017|2021
White Aryan Resistance|resist.com|Neo-Nazi|2016|2021
? Combat 18|combat18.org|Neo-Nazi|2018|2021
? Combat 18 UK|combat18.net|Neo-Nazi|2018|2021
#
#
###########################################################################
# Neo-Volkisch
###########################################################################
## - Folkgard of Holda & Odin (Asatru Folk Assembly off-shoot)|runestone.org|General Hate|2018
Asatru Folk Assembly|runestone.org|Neo-Volkisch|2017|2020-06-17
Asatru Folk Assembly|asatrufolkassembly.org|Neo-Volkisch|2017|2020-06-17
Asatru Folk Assembly Skandinavia|afaskandinavien.com|Neo-Volkisch|2017|2020-06-17
d CarolynEmerick.com/Folkright.com|carolynemerick.com|Neo-Volkisck|2019|2021
d CarolynEmerick.com/Folkright.com|folkright.com|Neo-Volkisck|2019|2021
Gallows Tree Wotansvolk Alliance|gallowstreewotansvolk.blogspot.com|Neo-Volkisch|2016|2020
## The Heathen Coalition|N/A|Neo-Volkisch|2019|2020
## Odinsvakt Kindred|N/A|Neo-Volkisch|2019|2021|Facebook
d Pacific Northwest Wolfpack Kindred|pnwkindred.com|Neo-Volkisch|2018
## Ulfur Hrafn Kindred|N/A|Neo-Volkisch|2019|2021
## Viking Brotherhood (see also Asatru Folk Assembly)|N/A|Neo-Volkisch|2019|2021
+ Woden's Folk Kindred|wodensfolkkindred.org|Neo-Volkisch|2019|2021
## Wolf Age (see also Asatru Folk Assembly)|N/A|Neo-Volkisch|2017|2020
## x Wolf Age (see also Asatru Folk Assembly)|stephenamcnallen.com|Neo-Volkisch|2017|2020|now porn
## Wolves of Vinland|jack-donovan.com|Neo-Volkisch|2016|2021
## x Wolves of Vinland|wolvesofvinland.net|Neo-Volkisch|2016|2021
#
#
###########################################################################
### Racist Skinheads
###########################################################################
## AC Skins|N/A|Racist Skinheads|2018|2020
## AC/OC|!!! None found.|Racist Skinheads|2018|
## American Front|!!! None found.|Racist Skinheads|2018|2020-06-17
## American Patriot Brigade|!!! None found.|Racist Skinheads|2018|
d American Vikings|americanvikings.com|Racist Skinheads|2018|
## American Viking Apparel|!!! Etsy.|Racist Skinheads|2018|
## Aryan Skins Kindred|!!! None found.|Racist Skinheads|2018|
## ? Aryan Strikeforce|!!! Facebook|Racist Skinheads|2018|
Be Active Front USA(not direct)|ourfightclothingco.com|Racist Skinheads|2018|
Blood and Honour America Division|bloodandhonour.net|Racist Skinheads|2018|
Blood and Honour Arkansas/Combat 18|bloodandhonour-arkansas.webs.com|Racist Skinheads|2018|
Blood and Honour Worldwide|bloodandhonourworldwide.co.uk|Racist Skinheads|2018|
## Blood and Honour Social Club|!!! facebook|Racist Skinheads|2018|
## California Skinheads|!!! None found.|Racist Skinheads|2018|
Confederate Hammerskins|hammerskins.net|Racist Skinheads|2018|
Crew 38|crew38.com|Racist Skinhead|2018|2020
## Eastern Hammerskins|hammerskins.net|Racist Skinheads|2018|
## Firm 22|!!! None found.|Racist Skinheads|2018|
Golden State Skinheads|goldenstateskinheads.org||Racist Skinheads|2018|2020
## Hamerskins Nation|hammerskins.net|Racist Skinheads|2018|
Keystone State Skinheads|keystone2001united.wordpress.com
##? Maryland State Skinheads|!!! None found.|Racist Skinheads|2018|
## Midland Hammerskins|hammerskins.net|Racist Skinheads|2018|
## Northern Hammerskins|hammerskins.net|Racist Skinheads|2018|
## Northwestern Hammerskins|hammerskins.net|Racist Skinheads|2018|
## Sacto Skins|!!! Facebook|Racist Skinheads|2018|
##? Supreme White Alliance|!!! None found.|Racist Skinheads|2018|
## United Southern Skins|!!! None found.|Racist Skinheads|2018|
?Vinland Clothing|vinlandclothing.com|Racist Skinheads|2018|
## Vinlanders Social Club|!!! None found.|Racist Skinheads|2018|
## Warior's Pride Clothing|!!! None found.|Racist Skinheads|2018|
## Western Hammerskins|hammerskins.net|Racist Skinheads|2018|
#
###########################################################################
### Radical Traditional Catholicism
###########################################################################
?Catholic Counterpoint|catholiccounterpoint.org
Catholic Family News/Catholic Family Ministries, Inc.|cfnews.org
Christ or Chaos|christorchaos.com
Culture Wars/Fidelity Press|culturewars.com
Fatima Crusader, The International Fatima Rosary Crusade|fatima.org
IHM Media|ihmmedia.net
IHS Press|ihspress.com
In the Spirit of Chartres Committee|isoc.ws
?Most Holy Family Monastery|mostholyfamilymonastery.com
?OMNI Christian Book Club|omnicbc.com
Remnant, The/The Remnant Press|remnantnewspaper.com
Robert Sungenis|robertsungenis.org
Slaves of the Immaculate Heart of Mary|catholicism.org
Tradition in Action|traditioninaction.org
#
#
###########################################################################
### White Nationalist
###########################################################################
Affirmative Right|affirmativeright.blogspot.com|White Nationalist|2018|2020
## x Affirmative Right (backup)|alternativeright.blog|White Nationalist|2018|2020
## d Alternative Right (removed)|alternative-right.blogspot.com|White Nationalist|2018|2020
? American Eagle Party|americaneagleparty.com|White Nationalist|2018|
American Freedom Party|american3rdposition.com|White Nationalist|2018|2020-06-17
American Freedom Party|theamericanfreedomparty.us|White Nationalist|2018|2020-06-17
American Freedom Union|americanfreedomunion.com|White Nationalist|2018|
American Identity Movement (aka Identity Evropa)|americanidentitymovement.com|White Nationalist|2018|2020-06-17
American Renaissance/New Century Foundation|amren.com|White Nationalist|2018|
American Renaissance/New Century Foundation|nc-f.org|White Nationalist|2018|
## - American Vanguard [new, unrelated owner]|american-vanguard.com|White Nationalist|2018|
Arktos Media|arktos.com|White Nationalist|2018|
## Auburn White Student Union|!!! None found. (twitter, gab, etc)|White Nationalist|2018|
? Bob’s Underground Graduate Seminar/BUGS|whitakeronline.org|White Nationalist|2018|
Center for Perpetual Diversity|perpetualdiversity.com|White Nationalist|2018|
## Conservative Citizens Foundation, Inc.|!!! None found.|White Nationalist|2018|
Council of Conservative Citizens|conservative-headlines.com|White Nationalist|2018|
Counter-Currents Publishing|counter-currents.com|White Nationalist|2018|2020
? European American Action Coalition|europeanamericanactioncoalition.wordpress.com|White Nationalist|2018|
##? European American Front|!!! None found.|White Nationalist|2018|
Exodus/Americanus|exodusamericanus.com|White Nationalist|2018|
Faith and Heritage|faithandheritage.com|White Nationalist|2018|
Fitzgerald Griffin Foundation, The|fgfbooks.com|White Nationalist|2018|
Forza Nuova—USA|forzanuova.info|White Nationalist|2018|
## Foundation for the Marketplace of Ideas|!!! None found.|White Nationalist|2018|
Free American|freeamerican.com|White Nationalist|2018|
## d  FreeStartr (Chuck Johnson)|freestartr.com|White Nationalist|2018|
?Heritage and Destiny|efp.org.uk|White Nationalist|2018|
H.L. Mencken Club|hlmenckenclub.org|White Nationalist|2018|
Identity Evropa (aka American Identity Movement)|identityevropa.com|2020-06-17|White Nationalist|2018|
National Policy Institute|npiamerica.org|White Nationalist|2018|
##+ National Right|!!! None found.|White Nationalist|2018|
##+ New Albion|!!! None found.|White Nationalist|2018|
Northwest Front|northwestfront.org|White Nationalist|2018|
Occidental Dissent|occidentaldissent.com|White Nationalist|2018|
Occidental Observer|theoccidentalobserver.net|White Nationalist|2018|
Occidental Quarterly/Charles Martel Society|toqonline.com|White Nationalist|2018|
Patriot Front (Vanguard America splinter)|patriotfront.us|White Nationalist|2018|
Patriotic Flags|patriotic-flags.com|White Nationalist|2018|
##? Phalanx|!!! None found.|White Nationalist|2018|
Pioneer Little Europe Kalispell|pioneerlittleeurope.com|White Nationalist|2018|
Political Cesspool, The|thepoliticalcesspool.org|White Nationalist|2018|
Racial Nationalist Party of America|rnpaheadquarters.org|White Nationalist|2018|
Radix Journal|radixjournal.com|White Nationalist|2018|
##+ Real Republic of Florida|!!! None found.|White Nationalist|2018|
+ Red Ice|redice.tv|White Nationalist|2018|
## d Right Brand Clothing|rightbrandclothing.com|White Nationalist|2018|
Right Stuff, The (TRS)|therightstuff.biz|White Nationalist|2018|2020
##+ Rise Above Movement|!!! None found.|White Nationalist|2018|
Scott-Townsend Publishers|scott-townsend.com|White Nationalist|2018|
##+ Sheildwall Network|!!! None found.|White Nationalist|2018|
Social Contract Press|thesocialcontract.com|White Nationalist|2018|
## Sons & Daughters of Liberty|!!! None found.|White Nationalist|2018|
## South Africa Project|southafricaproject.info|White Nationalist|2018|
Stormfront|stormfront.org|White Nationalist|2018|
Stormfront|stormfront.co.uk|White Nationalist|2018|
Traditionalist Youth Network|tradyouth.org|White Nationalist|2018|
## + True Cascadia|!!! None found.|White Nationalist|2018|
## + Tyr Security|!!! None found.|White Nationalist|2018|
+ Unity and Security for America (Jason Kessler, founder)|jasonkessler.us|White Nationalist|2018|
VDARE Foundation|vdare.com|White Nationalist|2018|
Washington Summit Publishers|washsummit.com|White Nationalist|2018|
White Boy Society|whiteboysociety.blogspot.com|White Nationalist|2018|
## ? White Lives Matter|!!! None found.|White Nationalist|2018|
## d WeSearchr (Chuck Johnson)|wesearchr.com|White Nationalist|2018|
## d GotNews (Chuck Johnson)|gotnews.com|White Nationalist|2018|
White Rabbit Radio|whiterabbitradio.net|White Nationalist|2018|
?WTM Enterprises|thornwalker.com|White Nationalist|2018|
#
#
###########################################################################
### Male Supremacy
###########################################################################
A Voice For Men|avoiceformen.com|Male Supremacy|2019|2020
Return of Kings|returnofkings.com|Male Supremacy|2019|2020
#
#
###########################################################################
### Chan
###########################################################################
8chan|8ch.net|Chan|2019-08-05
8chan|8chan.co|Chan|2019-08-05
8chan|8chan.org|Chan|2019-08-05
8kun (8chan derivative)|8kun.com|Chan|2019-08-05
8kun (8chan derivative)|8kun.net|Chan|2019-08-05
8kun (8chan derivative)|8kun.org|Chan|2019-08-05
8kun (8chan derivative)|8kun.tv|Chan|2019-08-05
8kun (8chan derivative)|8kun.top|Chan|2020-08-05
8kun adjacent|isitwetyet.com|Chan|2019-08-05
8kun adjacent|george.news|Chan|2019-08-05
8chan derivative|vipsumo.com|Chan|2019-08-05
8chan crypto|susukino.com|Chan|2019-08-05
8chan derivative|neinchan.com|2019-09-24
Epik Hosting (hosts far-right and illicit content)|epik.com|Chan|2019-08-05
BitMitigate (8chan,Daily Stormer)|bitmitigate.com|Chan|2019-08-05
4chan|4chan.org|Chan|2019-08-05
4chan|4channel.org|Chan|2019-08-05
#
#
###########################################################################
### Q Anon
###########################################################################
qmap|qmap.pub|2019-11-05
#
#
###########################################################################
# Wikipedia 
# Name | Website | Related org | Date added | Date checked/updated
###########################################################################
+ Australia First Party|australiafirstparty.net|Wikipedia Islamophobia|2020|2020
+ Australia Liberty Alliance (Yellow Vest Australia)|australianlibertyalliance.org.au|Wikipedia Islamophobia|2020|2020
+ Bodu Bala Sena|bodubalasena.org|Wikipedia Islamophobia|2020|2020
# + Australian Defence League|N/A|Wikipedia Islamophobia|2020|2020
+ British National Party|bnp.org.uk|Wikipedia Islamophobia|2020|2020
+ English Defence League|englishdefenceleague.org.uk|Wikipedia Islamophobia|2020|2020
+ Gatestone Institute|gatestoneinstitute.org|Wikipedia Islamophobia|2020|2020
+ Paul Hanson One Nation|onenation.org.au|Wikipedia Islamophobia|2020|2020
+ Patriotic Europeans Against the Islamisation of the Occident (Pegida)|pegida.de|Wikipedia Islamophobia|2020|2020
+ Q Society of Australia|qsociety.org.au|Wikipedia Islamophobia|2020|2020
+ Stop Islamisation of Denmark|siaddk.wordpress.com|Wikipedia Islamophobia|2020|2020
+ Stop Islamisation of Europe|sioeeu.wordpress.com|Wikipedia Islamophobia|2020|2020
+ Stop Islamisation of Norway|sian.no|Wikipedia Islamophobia|2020|2020
# + True Blue Crew/Reclaim Australia|N/A|Wikipedia Islamophobia|2020|2020
# + United Patriots Front/Reclaim Australia|N/A|Wikipedia Islamophobia|2020|2020
# ? Reclaim Australia|reclaim-australia.com|Wikipedia Islamophobia|2020|2020
+ Vox (Political Party)|voxespana.es|Wikipedia Islamophobia|2020|2020

Altra Firearms|altrafirearms.com|Anti-Muslim|2018|2020
NumbersUSA|numbersusa.com|Anti-Immigrant|2018|2020
ProjectUSA|projectusa.org|Anti-Immigrant|2018|2020
The Social Contract Press|tscpress.com|White Nationalist|2018|2020
