# Hate group DNS Blocklist
# - Based off 
#       - Southern Poverty Law Center's list of hate groups. 
#           - https://www.splcenter.org/fighting-hate
#           - https://www.splcenter.org/hate-map -- Click "Download Data"
#       - Center for Countering Digital Hate
#           - https://counterhate.co.uk
#       - Other resources:
#           - https://nowtoronto.com/news/canada-islamophobic-groups/
# 
# - URL: https://tch3.net/hg-dnsbl/blocklist.txt
#        
# - File format:
#   Name|website|category|date-added|date updated/checked|anything-else
#
# - I started this list ~2018 and only using 2016+ data
#
# - Lines beginning with 
#       ? are groups/domains that are not in the list, but are on the SPLC site.
#       + are newly added groups in the list.
#       - are active groups which have been in previous year's lists, but 
#         are not in the current year's list
#       x are domains which no longer exist (nx) (removed from configs)
#       d are domains which still exist, but are non-functional (remain in configs)
#       r are groups which are no longer in the list
#
###########################################################################
### Custom
###########################################################################
? New Yorkers for Immigration Control and Enforcement (NYICE)|nyice.us|Anti-Immigrant|2018|2020
Oregonians for Immigration Reform|oregonir.org|Anti-Immigrant|2018|2020
ProEnglish|proenglish.org|Anti-Immigrant|2018|2020
Respect Washington|respectwashington.us|Anti-Immigrant|2018|2020
## San Diegans for Secure Borders|N/A|Anti-Immigrant|2018|2020
# x San Diegan Patriots (partner to SDfS)|sandiegopatriots.com|Anti-Immigrant|2018|
Texans for Immigration Reduction and Enforcement|tfire.org|Anti-Immigrant|2018|2020
The Remembrance Project|theremembranceproject.org|Anti-Immigrant|2018|2020
? US Border Guard|usborderguard.com|Anti-Immigrant|2018|
# V-Dare|vdare.com # Duplicate White Nationalists|Anti-Immigrant|2018|
#
#
###########################################################################
### Anti-LGBTQ
###########################################################################
? Abiding Truth Ministries|abidingtruthministry.com|Anti-LGBTQ|2018|2020
? Abiding Truth Ministries|defendthefamily.com|Anti-LGBTQ|2018|2020
All Scripture Baptist Church|allscripturebaptist.com|Anti-LGBTQ|2020|2020
Alliance Defending Freedom|adflegal.org|Anti-LGBTQ|2018|2020
American College of Pediatricians|acpeds.org|Anti-LGBTQ|2018|2020
American Family Association|afa.net|Anti-LGBTQ|2018|2020
American Vision|americanvision.org|Anti-LGBTQ|2018|2020
Americans for Truth About Homosexuality|americansfortruth.com|Anti-LGBTQ|2018|2020
ATLAH World Missionary Church (All The Land Anointed Holy)|atlah.org|Anti-LGBTQ|2018|2020
+ Bible Believers Fellowship|bbfohio.com|Anti-LGBTQ|2020|2020
Center for Family and Human Rights (C-FAM)|c-fam.org|Anti-LGBTQ|2018|2020
Chalcedon Foundation|chalcedon.edu|Anti-LGBTQ|2020|2020
Church Militant/St. Michael's Media|churchmilitant.com|Anti-LGBTQ|2018|2020
? Citizens for Community Values|ccv.org|Anti-LGBTQ|2018
Concerned Christian Citizens|concernedchristiancitizens.org|Anti-LGBTQ|2018|2020
Conservative Republicans of Texas|crtpac.com|Anti-LGBTQ|2018|2020
D. James Kennedy Ministries (formerly Truth in Action)|djameskennedy.org|Anti-LGBTQ|2018|2020
